File,Line,Content
services\api_gateway\routers\auth.py,307,"is_dev = ""127.0.0.1"" in base_url or ""localhost"" in base_url"
services\bots\config.py,16,"default_factory=lambda: os.getenv(""OLLAMA_BASE_URL"", ""http://localhost:11434"")"
services\business_modules\blockchain\web3_integration.py,41,"""localhost"": ""http://127.0.0.1:8545"","
services\security\watchdog.py,59,"def __init__(self, cmd: list[str], health_url: str = ""http://127.0.0.1:8011/health"") -> None:"
services\security\watchdog.py,119,"cmd=[sys.executable, ""-m"", ""uvicorn"", ""services.api_gateway.main:app"", ""--port"", ""8011"", ""--host"", """
services\telegram_bot\config.py,19,"API_BASE_URL: str = os.getenv(""BOT_API_BASE_URL"", ""http://127.0.0.1:8000"")"
services\telegram_bot\formatters.py,215,"🔗 [مستندات API](http://127.0.0.1:8000/docs)"""""""
services\telegram_bot\proxy_bot.py,5,- v2rayN (socks5://127.0.0.1:10808)
services\telegram_bot\proxy_bot.py,6,- Clash (socks5://127.0.0.1:7891)
services\telegram_bot\proxy_bot.py,7,- Hiddify (socks5://127.0.0.1:2080)
services\telegram_bot\proxy_bot.py,36,"(""v2rayN"", ""socks5"", ""127.0.0.1"", 10808),"
services\telegram_bot\proxy_bot.py,37,"(""v2rayN-HTTP"", ""http"", ""127.0.0.1"", 10809),"
services\telegram_bot\proxy_bot.py,38,"(""Clash"", ""socks5"", ""127.0.0.1"", 7891),"
services\telegram_bot\proxy_bot.py,39,"(""Clash-HTTP"", ""http"", ""127.0.0.1"", 7890),"
services\telegram_bot\proxy_bot.py,40,"(""Hiddify"", ""socks5"", ""127.0.0.1"", 2080),"
services\telegram_bot\proxy_bot.py,41,"(""Oblivion"", ""socks5"", ""127.0.0.1"", 8086),"
services\telegram_bot\proxy_bot.py,42,"(""Shadowsocks"", ""socks5"", ""127.0.0.1"", 1080),"
services\telegram_bot\proxy_bot.py,43,"(""Tor"", ""socks5"", ""127.0.0.1"", 9050),"
testing_lab\integration_tests\test_e2e.py,9,"BASE = ""http://127.0.0.1:8011"""
tests\integration\test_admin_models.py,30,"monkeypatch.setenv(""OLLAMA_BASE_URL"", ""http://127.0.0.1:1"")"
tests\unit\test_phase1_cors.py,20,"""Origin"": ""http://localhost:3000"","
tests\unit\test_phase1_cors.py,26,"assert r.headers.get(""access-control-allow-origin"") == ""http://localhost:3000"""
tests\unit\test_settings.py,16,"assert any(""localhost:3000"" in o for o in s.cors_origins)"
